lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
1,-2088 ,32524 ,-0.064 ,-11.0 ,2715,0.107 ,0.377483444,978.8718577,-128.9889207,15.63104879,1319,0.109931766,1319,0.103108415,-0.904732458,0.060272934,0,0,0,2,0.154283548,0,0,0,14,9184.571676,3442.9135,7744.0315,13545.172,32523.527,0.275300487,0.105513835,0.231228676,0.403615022,0.96912642,973.924185,227,639,1729.75,2715,-10.97948976,-130,-130,-130,-169.162,5346.72
2,1538 ,26423 ,0.058 ,8.1 ,1077,0.181 ,0.486666667,1073.49856,-227.0812892,15.63104879,1319,0.19711903,1319,0.164518575,-1.043479033,0.179302502,0,0,0,4,0.337755876,0,0,0,14,9253.163609,2117.45575,8928.742,15657.56825,26422.716,0.1590513,0.047631037,0.154769313,0.241460919,0.485452358,312.5466262,55,219,523.75,1077,8.088001137,-230,-230,-217.91,-275.689,8320.222
3,2703 ,24995 ,0.108 ,14.2 ,1091,0.233 ,0.52,1121.679366,-321.7427386,15.62796209,1319,0.249431387,1319,0.216072782,-1.057591228,0.30288097,0,0,0,5,0.491281274,0,0,0,15,8431.987154,2103.0785,6940.6525,14107.76875,24994.852,0.12566111,0.04165967,0.112027521,0.198012717,0.4226188,283.0170584,38,182.5,467.5,1091,14.21676573,-330,-330,-200.41,-382.216,8320.222
4,5445 ,24996 ,0.218 ,28.6 ,1036,0.278 ,0.533333333,1169.473264,-411.1592416,15.62796209,1319,0.294920394,1319,0.261561789,-1.096501821,0.452994693,0,0,1,5,0.643669447,0,0,0,19,6410.417866,1633.66225,4451.3755,10271.36,24995.775,0.069293101,0.026916567,0.057639459,0.108426964,0.223117056,202.3597422,21,79,311,1036,28.63767248,-430,-430,381.2025,-560.54,8900.311
5,8438 ,23702 ,0.356 ,44.4 ,521,0.311 ,0.609271523,1234.139354,-493.2062168,15.62796209,1319,0.327520849,1319,0.294920394,-1.13063881,0.578468537,0,0,1,5,0.772554966,0,0,1,19,6082.019384,1523.3345,3966.557,9527.80625,23702.011,0.060351956,0.021550706,0.053908163,0.095233409,0.219192075,109.8112206,15,62,164,521,44.37934572,-530,-517.91,542.7125,-660.54,9542.63
6,7975 ,25288 ,0.315 ,41.9 ,524,0.332 ,0.569536424,1265.87212,-566.550265,15.62796209,1319,0.350265353,1319,0.313874147,-1.110835089,0.708491281,0,0,1,6,0.885140258,0,0,1,19,6164.692003,1654.459,4497.1455,9452.6205,25287.881,0.062694795,0.025087836,0.057852422,0.097769091,0.204112665,103.4567854,14,56.5,143,524,41.94177786,-630,-556.1735,641.4675,-760.54,9542.63
7,10023 ,23400 ,0.428 ,52.7 ,527,0.353 ,0.582781457,1306.275917,-630.9779701,15.62796209,1319,0.372251706,1319,0.33358605,-1.129111637,0.808946171,0,1,1,6,0.997346475,0,0,1,19,5617.327801,1636.75125,4887.752,7921.5815,23400.363,0.057469113,0.021655693,0.045595363,0.086154807,0.259607766,104.3006065,12,57,163,527,52.7154981,-730,-530,738,-860.54,9542.63
8,11732 ,23381 ,0.502 ,61.7 ,520,0.367 ,0.556291391,1350.554044,-686.5889718,15.62796209,1319,0.382865807,1319,0.351781653,-1.142043338,0.923805914,0,1,1,6,1.141015921,0,0,1,28,5685.461081,1654.3305,4764.004,8412.86725,23380.731,0.051263767,0.020281701,0.041902171,0.073722946,0.248121593,98.50265353,12,54,136.75,520,61.70199962,-830,-507.685,817.50475,-960.54,16212.16
9,11385 ,24215 ,0.470 ,59.9 ,535,0.378 ,0.553333333,1370.915272,-735.371553,15.62796209,1319,0.390447309,1319,0.364670205,-1.13081087,1.010993177,0,1,2,6,1.224412434,0,0,2,28,6592.666111,1595.83175,5115.0335,10167.02675,24214.578,0.058307065,0.020116818,0.047946095,0.091352024,0.275424119,102.8551933,11,51,140.75,535,59.8754818,-917.91,-487.2635,876,-1067.067,16212.16
10,14263 ,28162 ,0.506 ,75.0 ,557,0.391 ,0.629139073,1400.783665,-775.5626055,15.62796209,1319,0.40257771,1319,0.379075057,-1.158769342,1.10272934,0,1,2,7,1.344579227,0,0,2,28,6899.941827,1477.34475,5003.974,10645.78875,28161.781,0.052669081,0.017288487,0.043751398,0.083041578,0.251553953,98.5075815,11,48,125,557,75.01093707,-986.6825,-462.892,941.83575,-1180.121,16212.16
11,16509 ,27068 ,0.610 ,86.8 ,521,0.400 ,0.642384106,1431.101844,-809.0754858,15.62796209,1319,0.412433662,1319,0.387414708,-1.178835059,1.161106899,0,1,2,7,1.429871114,0,0,2,28,6410.663908,1266.818,4248.3005,10030.9135,27067.769,0.044877835,0.013927258,0.034098389,0.070508875,0.254628946,89.3206975,8,39,113,521,86.8256069,-1001.36825,-444.2905,971.56825,-1227.905,16212.16
12,18408 ,29675 ,0.620 ,96.8 ,521,0.407 ,0.64,1458.254746,-836.6259859,15.62796209,1319,0.417740713,1319,0.395754359,-1.195053722,1.214177407,0,1,2,7,1.494692949,0,0,2,28,6099.97469,1230,3774.852,9054.50825,29674.679,0.040529948,0.012192929,0.030360389,0.062171259,0.195686651,76.48749052,7,32.5,102,521,96.81109704,-991.608,-430,1001.44125,-1327.905,16212.16
13,20864 ,31620 ,0.660 ,109.7 ,564,0.413 ,0.626666667,1487.234503,-858.7054648,15.62796209,1319,0.423047763,1319,0.40257771,-1.217619761,1.250189538,0,1,2,7,1.560272934,0,0,2,29,6451.492127,1260.8615,3987.2185,9632.3845,31620.481,0.037572581,0.01129338,0.028177302,0.057413981,0.180209706,82.28165277,7,34,107.75,564,109.728434,-975,-419.7905,1029.2025,-1447.486,16212.16
14,19731 ,33185 ,0.595 ,103.8 ,564,0.414 ,0.613333333,1494.136239,-879.8340388,15.62796209,1319,0.425322214,1319,0.403335861,-1.201381991,1.278999242,0,1,2,7,1.590598939,0,0,2,29,6723.829511,1342.58775,4425.401,9652.9835,33185.481,0.040437981,0.012799763,0.03052583,0.061063793,0.199620833,84.05989386,8,37,110.75,564,103.7707805,-971.5,-417.91,1032.17775,-1547.486,16212.16
15,19487 ,34498 ,0.565 ,102.5 ,565,0.416 ,0.606666667,1507.171558,-897.4769319,15.62796209,1319,0.427596664,1319,0.404094011,-1.195482943,1.29909022,0,1,2,7,1.625473844,0,0,2,31,6571.824343,1442.63425,4485.8245,9411.38225,34498.481,0.041880816,0.013616974,0.032227713,0.061384143,0.22090698,96.6686884,10,52,146,565,102.4849306,-969.4775,-416.108,1038.6225,-1627.905,16212.16
16,19363 ,35586 ,0.544 ,101.8 ,565,0.417 ,0.613333333,1517.058045,-911.9276474,15.62796209,1319,0.428354814,1319,0.406368461,-1.191667971,1.327520849,0,1,2,7,1.66793025,0,0,2,32,6765.915102,1492.98325,4763.2285,9681.91175,35585.918,0.044008215,0.014232101,0.033194154,0.063707145,0.239062601,89.13305534,9,44.5,129.75,565,101.8377991,-964.5,-413,1045.1365,-1734.432,16212.16
17,19656 ,24407 ,0.805 ,103.4 ,400,0.419 ,0.62,1528.262436,-923.6941305,15.62796209,1319,0.429112964,1319,0.408642911,-1.19258647,1.353297953,0,1,2,7,1.701288855,0,0,2,32,5837.970471,1421.554,4287.7745,9229.219,24407.41,0.04271838,0.012687223,0.031693939,0.058301545,0.254806054,71.82145565,8.25,40,108.75,400,103.3763798,-959.9775,-407.455,1049.21375,-1834.432,16212.16
18,20249 ,25034 ,0.809 ,106.5 ,344,0.421 ,0.62,1536.330747,-932.196413,15.62796209,1319,0.431387415,1319,0.410159212,-1.197228149,1.369977255,0,1,2,7,1.73009856,0,0,2,36,5667.718021,1402.438,4395.548,8919.431,25034.41,0.040295867,0.012375377,0.029604452,0.055854571,0.251813931,75.15314632,9,44,119,344,106.4939386,-951.51025,-406.009,1057.29,-1934.432,16212.16
19,20251 ,25591 ,0.791 ,106.5 ,398,0.422 ,0.606666667,1541.038013,-940.4699049,15.62796209,1319,0.433661865,1319,0.410159212,-1.195896982,1.382865807,0,1,2,7,1.747915087,0,0,2,36,5887.689679,1435.2935,4636.239,9198.99775,25591.41,0.041623311,0.01304394,0.031485641,0.057859233,0.265289084,90.69370735,10,56,153.75,398,106.5044367,-946.61175,-400.2905,1062.70475,-2034.432,16212.16
20,19266 ,26054 ,0.739 ,101.3 ,397,0.422 ,0.6,1541.038013,-949.4305403,15.62796209,1319,0.433661865,1319,0.410159212,-1.184610219,1.387414708,0,1,2,7,1.753222138,0,0,2,36,6294.906191,1492.98325,5094.853,9760.811,26054.392,0.044903166,0.014756228,0.034653491,0.06266984,0.278325421,91.07088704,10,57,154,397,101.3243878,-946.61175,-400.2905,1062.70475,-2134.432,16212.16
21,20596 ,27008 ,0.763 ,108.3 ,397,0.424 ,0.593333333,1551.468381,-953.1489684,15.62796209,1319,0.433661865,1319,0.413949962,-1.197237641,1.417361638,0,1,2,7,1.801743745,0,0,2,73,6001.745065,1362.82775,4887.993,9508.5305,27008.122,0.04325282,0.013185068,0.032921552,0.058894954,0.290299304,81.22365428,9,43,133.75,397,108.3226755,-945.44275,-397.2185,1070.2225,-2234.432,16212.16
22,21465 ,27546 ,0.779 ,112.9 ,397,0.425 ,0.609271523,1560.597894,-956.9064463,15.62796209,1319,0.434420015,1319,0.415466262,-1.205151285,1.440106141,0,1,2,7,1.838514026,0,0,2,73,5869.148972,1315.19025,4436.6195,9251.7485,27545.872,0.042828416,0.011849073,0.030436443,0.058182815,0.297889292,80.42228961,9,41,131,397,112.8897498,-942.81425,-393.82,1076.8,-2334.432,16212.16
23,21347 ,28234 ,0.756 ,112.3 ,400,0.425 ,0.609271523,1563.32745,-961.6615277,15.62796209,1319,0.435178165,1319,0.415466262,-1.20315441,1.444275967,0,1,2,7,1.843442002,0,0,2,73,5982.134016,1362.63225,4601.7005,9489.48575,28233.782,0.04380056,0.012309434,0.03162197,0.057040304,0.30665506,73.42304776,9,40,111,400,112.2723741,-939.43575,-393.392,1078.0025,-2440.959,16212.16
24,20798 ,28861 ,0.721 ,109.4 ,400,0.425 ,0.609271523,1563.32745,-966.6942988,15.62796209,1319,0.435178165,1319,0.415466262,-1.196890588,1.447687642,0,1,2,7,1.849507202,0,0,2,73,6115.931548,1381.84075,4699.81,9635.80125,28861.242,0.04532899,0.012940551,0.032629779,0.058876919,0.314905162,76.48749052,10,43.5,116.75,400,109.3801524,-939.43575,-393.392,1078.0025,-2534.432,16212.16
25,21787 ,29461 ,0.740 ,114.6 ,400,0.426 ,0.61589404,1570.560753,-968.0178176,15.62796209,1319,0.435936315,1319,0.416982563,-1.206382376,1.451478393,0,1,2,7,1.857088704,0,0,2,73,6067.977533,1357.877,4711.8455,9687.81975,29461.242,0.042135811,0.012172157,0.031299782,0.055759662,0.300265782,79.94389689,10,44.5,128,400,114.5829754,-937.66,-388.7905,1083.335,-2634.432,16212.16
26,21400 ,30031 ,0.713 ,112.5 ,400,0.426 ,0.609271523,1570.560753,-971.5661395,15.62796209,1319,0.435936315,1319,0.416982563,-1.201976466,1.462471569,0,1,2,8,1.870735406,0,0,2,73,6154.600406,1378.25225,4732.371,9790.42475,30031.242,0.04308,0.01248384,0.032027886,0.056962584,0.306741225,80.47232752,10,47,130,400,112.5478688,-937.66,-388.7905,1083.335,-2740.959,16212.16
27,21713 ,30441 ,0.713 ,114.2 ,400,0.427 ,0.609271523,1574.944658,-973.642043,15.62796209,1319,0.435936315,1319,0.417740713,-1.204626959,1.468915845,0,1,2,8,1.879454132,0,0,2,73,6226.271254,1379.6005,4825.3025,9940.2575,30441.242,0.043259357,0.01271785,0.032138569,0.057027005,0.311565465,80.4787718,10,47,130,400,114.1929174,-936.4325,-386.91,1084.464,-2840.959,16212.16
28,21382 ,30691 ,0.697 ,112.5 ,400,0.427 ,0.609271523,1574.944658,-976.6799233,15.62796209,1319,0.435936315,1319,0.417740713,-1.200880068,1.469673995,0,1,2,8,1.879833207,0,0,2,73,6310.754728,1383.70225,4944.934,10045.4065,30691.242,0.043978638,0.012934456,0.032893784,0.058063345,0.314639462,82.83017437,10,50,137,400,112.4517214,-936.4325,-386.91,1084.464,-2940.959,16212.16
29,21804 ,30891 ,0.706 ,114.7 ,400,0.427 ,0.59602649,1580.453953,-978.5966248,15.62796209,1319,0.436694466,1319,0.417740713,-1.204585373,1.478771797,1,1,2,8,1.891963609,0,0,2,73,6073.211684,1317.3375,4589.4845,9554.95325,30891.242,0.043261451,0.011818776,0.030920219,0.057356921,0.317014811,77.34116755,10,45,124.75,400,114.6747934,-934.88175,-384.437,1088.673,-3073.594,16212.16
30,21532 ,31091 ,0.693 ,113.2 ,400,0.427 ,0.59602649,1580.453953,-981.0945533,15.62796209,1319,0.436694466,1319,0.417740713,-1.201518423,1.479909022,1,1,2,8,1.894996209,0,0,2,73,6190.760481,1357.3745,4665.0135,9645.0125,31091.242,0.044203114,0.012206961,0.031963832,0.05894473,0.319395041,78.68574678,10,46,127,400,113.2440239,-934.88175,-384.437,1088.673,-3173.594,16212.16
31,21927 ,31291 ,0.701 ,115.3 ,399,0.428 ,0.59602649,1583.690244,-981.5853848,15.62796209,1319,0.437452616,1319,0.417740713,-1.205242147,1.489764973,1,1,2,9,1.909401061,0,0,2,73,6274.775221,1355.02725,4738.4095,9819.27975,31291.242,0.044431254,0.012490078,0.032141892,0.058725455,0.321482633,78.77596664,10,46,128.5,399,115.3179166,-934.37275,-383.027,1091.10475,-3273.594,16212.16
32,21740 ,31471 ,0.691 ,114.3 ,399,0.428 ,0.59602649,1583.690244,-983.2999543,15.62796209,1319,0.437452616,1319,0.417740713,-1.203140579,1.489764973,1,1,2,9,1.909401061,0,0,2,73,6332.008333,1373.36425,4770.211,9902.06575,31471.242,0.044934516,0.012623608,0.032737978,0.059204945,0.323331932,79.1656558,10,47,129,399,114.3364913,-934.37275,-383.027,1091.10475,-3373.594,16212.16
33,22295 ,31571 ,0.706 ,117.3 ,400,0.428 ,0.59602649,1588.185503,-983.2636693,15.62796209,1319,0.437452616,1319,0.418498863,-1.208470176,1.490144049,1,1,2,9,1.910159212,0,0,2.75,73,6293.323231,1355.02725,4720.9815,9863.1385,31571.242,0.04449087,0.012374938,0.032151506,0.058151545,0.324359321,79.22100076,10,46,129,400,117.2541911,-933.7975,-382,1093.43575,-3473.594,16212.16
34,22923 ,31678 ,0.724 ,120.6 ,400,0.428 ,0.602649007,1593.392958,-983.0878747,15.62796209,1319,0.438210766,1319,0.418498863,-1.214528348,1.492797574,1,1,2,9,1.915466262,0,0,2.75,73,6102.357151,1324.60275,4694.518,9633.3765,31677.769,0.041234649,0.011601284,0.030994155,0.055797949,0.325453767,77.64329037,9,44.5,126,400,120.560094,-933.122,-380.5,1094.225,-3573.594,16212.16
35,22794 ,31778 ,0.717 ,119.9 ,400,0.428 ,0.602649007,1593.392958,-984.2815086,15.62796209,1319,0.438210766,1319,0.418498863,-1.213055495,1.492797574,1,1,2,9,1.915466262,0,0,2.75,73,6135.829478,1324.60275,4721.0575,9648.5995,31777.769,0.041507147,0.011674913,0.031277569,0.056255632,0.326481155,77.63457165,9,44.5,126,400,119.8777589,-933.122,-380.5,1094.225,-3673.594,16212.16
36,22668 ,31878 ,0.711 ,119.2 ,400,0.428 ,0.602649007,1593.392958,-985.4374549,15.62796209,1319,0.438210766,1319,0.418498863,-1.211632546,1.495451099,1,1,2,9,1.917361638,0,0,3,73,6167.530278,1324.60275,4753.2975,9715.278,31877.769,0.041772891,0.011735683,0.031729381,0.056860788,0.327508544,79.52463988,10,46.5,131,400,119.2169678,-933.122,-380.5,1094.225,-3773.594,16212.16
37,22553 ,31978 ,0.705 ,118.6 ,400,0.428 ,0.602649007,1593.392958,-986.4932056,15.62796209,1319,0.438210766,1319,0.418498863,-1.21033585,1.497346475,1,1,2,9,1.919636088,0,0,3,73,6194.490638,1324.60275,4773.4625,9730.58525,31977.769,0.042003414,0.011809892,0.031911362,0.057285172,0.328535932,79.53790751,10,46.5,131,400,118.613453,-933.122,-380.5,1094.225,-3813.594,16212.16
38,22457 ,32078 ,0.700 ,118.1 ,400,0.428 ,0.602649007,1593.392958,-987.3781857,15.62796209,1319,0.438210766,1319,0.418498863,-1.209251034,1.49924185,1,1,2,9,1.921152388,0,0,3,73,6235.438514,1322.193,4824.9505,9801.2265,32077.769,0.042300641,0.011797609,0.032037793,0.057944129,0.329563321,79.17096285,10,46,129,400,118.1075584,-933.122,-380.5,1094.225,-3875.689,16212.16
39,22370 ,32178 ,0.695 ,117.6 ,400,0.428 ,0.602649007,1593.392958,-988.1799098,15.62796209,1319,0.438210766,1319,0.418498863,-1.208269952,1.49924185,1,1,2,9,1.921531463,0,0,3,73,6262.10834,1324.60275,4830.3945,9890.4545,32177.769,0.042508921,0.011934679,0.032213423,0.058268792,0.330590709,79.17096285,10,46,129,400,117.6492566,-933.122,-380.5,1094.225,-3975.689,16212.16
40,22285 ,32278 ,0.690 ,117.2 ,400,0.428 ,0.602649007,1593.392958,-988.9590875,15.62796209,1319,0.438210766,1319,0.418498863,-1.207317984,1.49924185,1,1,2,9,1.921910538,0,0,3,73,6288.416149,1326.617,4844.427,9952.23475,32277.769,0.042715147,0.012023756,0.032562278,0.058689012,0.331618098,79.17096285,10,46,129,400,117.2038434,-933.122,-380.5,1094.225,-4075.689,16212.16
41,22206 ,32378 ,0.686 ,116.8 ,401,0.428 ,0.602649007,1593.392958,-989.6885305,15.62796209,1319,0.438210766,1319,0.418498863,-1.206428139,1.49924185,1,1,2,9,1.921910538,0,0,3,73,6314.610235,1326.617,4881.7375,9977.51925,32377.769,0.042918289,0.012037236,0.032743315,0.059061105,0.332645486,79.23616376,10,46,129,401,116.7868609,-933.122,-380.5,1094.225,-4175.689,16212.16
42,22130 ,32478 ,0.681 ,116.4 ,401,0.428 ,0.602649007,1593.392958,-990.384817,15.62796209,1319,0.438210766,1319,0.418498863,-1.205579964,1.49924185,1,1,2,9,1.921910538,0,0,3,73,6338.834738,1326.617,4911.6655,10009.84875,32477.769,0.043113381,0.012061052,0.032899748,0.05914085,0.333672875,79.23843821,10,46,129,401,116.3888321,-933.122,-380.5,1094.225,-4275.689,16212.16
43,22058 ,32578 ,0.677 ,116.0 ,401,0.428 ,0.602649007,1593.392958,-991.0479469,15.62796209,1319,0.438210766,1319,0.418498863,-1.204773287,1.49924185,1,1,2,9,1.921910538,0,0,3,73,6361.124352,1326.617,4953.1555,10035.294,32577.769,0.04330049,0.012082324,0.033124349,0.059316415,0.334700264,79.23843821,10,46,129,401,116.009757,-933.122,-380.5,1094.225,-4375.689,16212.16
44,21987 ,32678 ,0.673 ,115.6 ,401,0.428 ,0.602649007,1593.392958,-991.7030597,15.62796209,1319,0.438210766,1319,0.418498863,-1.203977421,1.49924185,1,1,2,9,1.921910538,0,0,3,73,6383.395633,1326.617,4961.4975,10078.022,32677.769,0.043487528,0.012122266,0.033307718,0.059687297,0.335727652,79.23768006,10,46,129,401,115.635265,-933.122,-380.5,1094.225,-4475.689,16212.16
45,21924 ,32778 ,0.669 ,115.3 ,401,0.428 ,0.602649007,1593.392958,-992.278,15.62796209,1319,0.438210766,1319,0.418498863,-1.203279819,1.502653525,1,1,2,9,1.925322214,0,0,3,73,6400.880586,1326.617,4968.477,10104.907,32777.769,0.043652416,0.012198759,0.03348213,0.060036813,0.336755041,79.24601971,10,46,129,401,115.3066031,-933.122,-380.5,1094.225,-4575.689,16212.16
